iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60060,50,20000x1,11255.9,20000,5,533.58683,1000,38.637072708333335,12152,0.46951770755166666,0.00046951770755166664,4.695177075516667
60060,50,30000x1,16839.6,30000,5,534.9889546,500,38.179641999999994,9110,0.3478165386199999,0.0006956330772399997,6.956330772399998
60060,100,100x1,105.81,100,5,283.8106039,5000,38.818675999999996,1289,0.050037273364,1.0007454672799999e-05,0.100074546728
60060,100,150x1,126.67,150,5,355.6090629,5000,40.5301058,1110,0.04498841743800001,8.997683487600002e-06,0.08997683487600001
60060,100,200x1,152.72,200,5,393.2687271,5000,49.33634133333334,1524,0.075188584192,1.50377168384e-05,0.150377168384
60060,100,500x1,317.22,500,5,473.3308114,5000,50.360265555555564,2253,0.11346167829666669,2.2692335659333338e-05,0.22692335659333338
60060,100,1000x1,599.6,1000,5,500.8338893,5000,49.568446266666676,3792,0.18796354824320002,3.7592709648640004e-05,0.37592709648640005
60060,100,2000x1,1163.77,2000,5,516.0813563,5000,39.56794692307692,6540,0.25877437287692306,5.175487457538461e-05,0.5175487457538461
60060,100,5000x1,2835.38,5000,5,529.5586482,5000,39.551346745762714,15015,0.5938634713876272,0.00011877269427752544,1.1877269427752544
60060,100,10000x1,5631.49,10000,5,533.251413,5000,38.67431917105263,29064,1.1240304123874736,0.00022480608247749473,2.248060824774947
60060,100,20000x1,11217.4,20000,5,535.4181896,2500,38.39514396428571,28709,1.1022861880706785,0.0004409144752282714,4.409144752282714
60060,100,30000x1,16803,30000,5,536.1542582,2500,38.439739185628746,43019,1.6536391400265629,0.0006614556560106252,6.6145565601062515
60060,200,100x1,80.765,100,5,371.8194763,5000,36.0593308,1268,0.0457232314544,9.14464629088e-06,0.09144646290880001
60060,200,150x1,107.41,150,5,419.3743599,5000,46.315242,1309,0.060626651777999994,1.2125330355599999e-05,0.12125330355599999
60060,200,200x1,135.335,200,5,443.7876381,5000,46.307077833333345,1556,0.07205381310866668,1.4410762621733336e-05,0.14410762621733336
60060,200,500x1,302.075,500,5,497.0619879,5000,46.07355174999999,2104,0.09693875288199999,1.93877505764e-05,0.19387750576399998
60060,200,1000x1,582.01,1000,5,515.970516,5000,40.82407814285715,3677,0.15011013533128573,3.0022027066257145e-05,0.30022027066257145
60060,200,2000x1,1144.46,2000,5,524.7889835,5000,38.659928279999995,6445,0.24916323776459998,4.983264755292e-05,0.49832647552919995
60060,200,5000x1,2815.77,5000,5,533.2466785,5000,38.68623175,14649,0.56671460890575,0.00011334292178115,1.1334292178115
60060,200,10000x1,5612.9,10000,5,535.0175489,5000,38.44704405309734,28877,1.110235291121292,0.0002220470582242584,2.220470582242584
60060,200,20000x1,11200.4,20000,5,536.2308489,5000,38.46587704484306,56669,2.179822786254211,0.00043596455725084226,4.359645572508422
60060,200,30000x1,16782.1,30000,5,536.821971,5000,38.42648981626506,84773,3.257528821194238,0.0006515057642388476,6.515057642388475
Max,,,,,,536.821971,,,,,,
